feature_set,model_group,method,ade,fde,num_samples,summary_path,hidden_dim,num_layers,epochs,lr,dropout,alpha,d_model,nhead,dim_feedforward,raw_method,display_method
motion_yaw,constant_velocity,constant_velocity_last_step,1.152591207942378,2.6385461937492933,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/constant_velocity/constant_velocity_summary.csv,,,,,,,,,,constant_velocity_last_step,constant_velocity_last_step
xy_only,constant_velocity,constant_velocity_last_step,1.152591207942378,2.6385461937492933,704,/workspaces/nuscenes_trajectory_demo/outputs/results/constant_velocity/constant_velocity_summary.csv,,,,,,,,,,constant_velocity_last_step,constant_velocity_last_step
motion_yaw,gru,gru_hidden_256_layers_2,0.9081681095121894,1.996961329701166,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_summary.csv,256.0,2.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_2,gru_hidden_256_layers_2
xy_only,gru,gru_hidden_256_layers_3,0.9677293375901752,2.1439215129572733,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,256.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_3,gru_hidden_256_layers_3
motion_yaw,linear_regression,linear_regression,1.1416428320014596,2.6140753069088203,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/linear_regression/linear_regression_summary.csv,,,,,,1.0,,,,linear_regression,linear_regression
xy_only,linear_regression,ridge_regression,1.1692448788089678,2.679322338120652,704,/workspaces/nuscenes_trajectory_demo/outputs/results/linear_regression/linear_regression_summary.csv,,,,,,10.0,,,,ridge_regression,ridge_regression
motion_yaw,lstm,lstm_hidden_128_layers_2,0.9410593313474568,2.014127468019565,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_summary.csv,128.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_2,lstm_hidden_128_layers_2
xy_only,lstm,lstm_hidden_128_layers_3,0.978107601697874,2.1808015158398617,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,128.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_3,lstm_hidden_128_layers_3
motion_yaw,mlp,mlp_hidden_256,1.112778584673916,2.459175159151941,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/mlp/mlp_summary.csv,256.0,,100.0,0.001,,,,,,mlp_hidden_256,mlp_hidden_256
xy_only,mlp,mlp_hidden_256,1.189591170493672,2.641397457913792,704,/workspaces/nuscenes_trajectory_demo/outputs/results/mlp/mlp_summary.csv,,,,,,,,,,mlp_hidden_256,mlp_hidden_256
motion_yaw,transformer,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,0.9898674298813356,2.145681631505299,704,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/transformer/transformer_summary.csv,,2.0,100.0,0.0003,0.1,,128.0,4.0,256.0,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003
xy_only,transformer,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,1.1255490116891451,2.42494842040039,704,/workspaces/nuscenes_trajectory_demo/outputs/results/transformer/transformer_summary.csv,,2.0,100.0,0.0003,0.1,,128.0,4.0,512.0,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003
